,date_[utc],date_[unix],gap,orb,mu_b_x_SW,sigma_b_x_SW,mu_b_x_SW_normed,sigma_b_x_SW_normed,mu_b_y_SW,sigma_b_y_SW,mu_b_y_SW_normed,sigma_b_y_SW_normed,mu_b_z_SW,sigma_b_z_SW,mu_b_z_SW_normed,sigma_b_z_SW_normed,mu_b_mag_SW,sigma_b_mag_SW,mu_b_mag_SW_normed,sigma_b_mag_SW_normed,mu_v_x_SW,sigma_v_x_SW,mu_v_x_SW_normed,sigma_v_x_SW_normed,mu_v_y_SW,sigma_v_y_SW,mu_v_y_SW_normed,sigma_v_y_SW_normed,mu_v_z_SW,sigma_v_z_SW,mu_v_z_SW_normed,sigma_v_z_SW_normed,mu_v_mag_SW,sigma_v_mag_SW,mu_v_mag_SW_normed,sigma_v_mag_SW_normed,mu_tp_SW,sigma_tp_SW,mu_tp_SW_normed,sigma_tp_SW_normed,mu_np_SW,sigma_np_SW,mu_np_SW_normed,sigma_np_SW_normed
157,2014-11-19 01:00:00,1416358800,0.577,271.0,-1.1526295344215833,2.0265565910373264,-0.4590592458667666,0.8830783766372626,2.518134329992316,1.8779598868021152,0.6702969923940467,0.6892882965465543,-0.8082503975128172,2.4695992110268925,-0.06143208712457242,1.116833162378425,4.454926985302297,1.0583966247096515,0.27131669189935803,0.8116931412357766,-395.24921546355085,15.342032944844139,0.5038289428924864,0.44795354041963426,17.37970965269409,12.295051713247,0.233765518688713,0.6321103236577793,-1.646832739244763,13.602127209067683,-0.24165181999779042,1.1027839679306066,396.17899863237204,15.572126660782317,-0.4954448497374276,0.45010159495902413,10.50477243129496,2.3053095734271047,0.6092573233907175,0.5452428935406477,4.988646486859343,2.1072250325826962,-0.4997489608929874,0.41241491970503164
158,2014-11-19 02:00:00,1416362400,0.618,272.0,-1.1381242419972402,2.033872209220158,-0.4527385192986617,0.8862661801546006,2.4946705297291887,1.8848223281979684,0.6616848154101068,0.691807093978353,-0.7976761468507327,2.478328223507557,-0.05665006672466816,1.1207807059999535,4.4540724488286045,1.063052482768286,0.27066134079709764,0.8152637573588181,-395.5524069789944,15.40579689148234,0.49497641902838085,0.44981530709360756,17.411741948310528,12.34104309886573,0.23541235558064677,0.6344748220207754,-1.602209181063842,13.647718726180681,-0.23803399288901783,1.1064802717052347,396.48834922706936,15.637421065763025,-0.48650328388018066,0.4519888847598278,10.457964730117665,2.316514343276701,0.598186547160021,0.5478930023176518,5.004398894275567,2.117720533343048,-0.4966659831667023,0.4144690435107077
159,2014-11-19 03:00:00,1416366000,0.66,272.0,-1.1241845011871525,2.0406894915597418,-0.446664233616358,0.889236832268705,2.471847941382601,1.891220798252491,0.6533079894966466,0.6941555948996886,-0.7881548582008056,2.486461172334455,-0.052344230026415264,1.1244586902320708,4.453212295406351,1.0673847207511427,0.2700016820104445,0.8185861865642688,-395.84795090447824,15.46521249588393,0.4863471879319561,0.4515501117602087,17.442899144766244,12.38394991412059,0.23701420207915902,0.6366807371735074,-1.5593491893349305,13.690201282893343,-0.23455914582886292,1.1099245184571835,396.78967624799344,15.698255534193152,-0.4777936338961639,0.45374726316666697,10.415731810750781,2.3269319964526267,0.5881977806083618,0.5503569453069227,5.020045694938552,2.1274734343342177,-0.4936036742346768,0.4163778296237098
160,2014-11-19 04:00:00,1416369600,0.702,272.0,-1.1107536555629793,2.0470702583157903,-0.44081170060389985,0.892017271351212,2.4496301266472624,1.8972125765620007,0.6451531403012324,0.6963548232715361,-0.779528599651454,2.494072109504147,-0.048443155077836815,1.127900603798425,4.4523587643808,1.0714340861534055,0.26934710199469464,0.8216916784438144,-396.1361440317497,15.520820166445969,0.4779325839384706,0.45317373315329956,17.473035105797372,12.424151012520495,0.23856354506082375,0.6387475466439858,-1.518309931870764,13.729960634560738,-0.23123191366203766,1.1131479830609323,397.0833124595979,15.75518497425536,-0.46930628145805725,0.4553927694183376,10.377434083766893,2.3366624099742395,0.5791397505210262,0.5526583450343285,5.035569851245619,2.1365784295536674,-0.49056536860624544,0.41815981105155087
161,2014-11-19 05:00:00,1416373200,0.743,272.0,-1.0977837316213417,2.0530653788196416,-0.4351600156570573,0.8946296638724472,2.427982639389822,1.9028448294868003,0.637207624680234,0.6984220910824931,-0.7716700626684955,2.5012219562203373,-0.044889268815176395,1.1311339972506536,4.451520762307003,1.0752340346262816,0.26870443126071647,0.8246058904135748,-396.41729181595815,15.573064464688713,0.4697236884309425,0.45469915148923407,17.502061016513622,12.461958591314861,0.24005581839526957,0.640691301044195,-1.4790993581681673,13.767314192557654,-0.22805294088903202,1.116176399445445,397.36959458247713,15.808665798957966,-0.4610314938890159,0.45693859581846513,10.342550020586248,2.345787490876142,0.5708891069778281,0.554816573834528,5.050959447107776,2.1451131173718636,-0.4875533984352165,0.41983017493619723
162,2014-11-19 06:00:00,1416376800,0.785,272.0,-1.0852337046278888,2.058717224154035,-0.42969130211945045,0.8970924731643142,2.406873183410212,1.908156869522715,0.6294595886037089,0.7003718276307948,-0.7644754275475041,2.5079614461461426,-0.04163562058818555,1.1341818140028808,4.45070475790385,1.0788123749705465,0.26807863072262533,0.8273501492732852,-396.69169888711986,15.62231558477897,0.4617116068844496,0.45613717562158856,17.529928256921913,12.497633042891563,0.24148852244278127,0.6425253876066913,-1.4416931455111937,13.80252633568899,-0.22502025556084204,1.1190312019572042,397.6488545986505,15.8590780117127,-0.45295967547743965,0.4583957261039171,10.310649472899438,2.354375246218291,0.5633441129662734,0.5568477164740007,5.066206379532341,2.1531418823807487,-0.4845693495963898,0.4214015222888867
163,2014-11-19 07:00:00,1416380400,0.827,273.0,-1.0730681816223957,2.0640614678024605,-0.42439013739789927,0.8994212440588837,2.3862716271659155,1.9131818152414413,0.6218979725598113,0.7022161887904987,-0.7578591479316014,2.5143332856843204,-0.03864352354927534,1.1370633672807635,4.44991541637887,1.082192474513205,0.26747327816672983,0.8299423756196446,-396.95966323193727,15.668885122063656,0.45388763874419547,0.4574969034475798,17.556616482384097,12.531393874549547,0.24286061124957964,0.6442610915893994,-1.406046135484658,13.835819649573365,-0.22213019648716134,1.1217304365862182,397.9214145588387,15.90674141725244,-0.4450815175690738,0.45977340401021394,10.281374035842855,2.362482762138364,0.5564199999558593,0.5587652747449776,5.081305407716746,2.160718734662758,-0.481614247791879,0.4228844236768186
164,2014-11-19 08:00:00,1416384000,0.868,273.0,-1.0612563858240456,2.0691284320738617,-0.41924311041384715,0.9016291895971712,2.366149938559608,1.917947833344943,0.6145124876191824,0.7039655128963862,-0.7517500740471021,2.5203737689529278,-0.035880801454465566,1.139795070466062,4.4491560560924075,1.0853941587599047,0.26689091847107493,0.8323977737972055,-397.2214727257766,15.713037862898984,0.446243378684109,0.45878606614508677,17.582125222232186,12.563427885223067,0.24417206061779198,0.6459080166554467,-1.3721001212013473,13.867383329872785,-0.2193780445809637,1.1242894422526175,398.1875836217246,15.951927740421855,-0.43738808414514696,0.46107948355682515,10.254422349347033,2.370158424995177,0.5500454914299019,0.5605806928016811,5.096253452083288,2.1678894252652126,-0.4786886957403173,0.4242878332525944
165,2014-11-19 09:00:00,1416387600,0.91,273.0,-1.0497713627328549,2.073944111415848,-0.4142384756595723,0.9037276369410719,2.346482077393191,1.9224790832557923,0.607293575961171,0.7056286674473573,-0.7460885278578604,2.526114004950606,-0.03332046595296,1.1423909920607322,4.4484289819467735,1.0884343939347199,0.2663333192843396,0.8347293553437909,-397.4774031883118,15.755000744169749,0.4387707733777554,0.4600112897708622,17.606467896673838,12.593895388176625,0.2454235605039967,0.6474744047929011,-1.3397891798730077,13.897379568358582,-0.21675845519336515,1.1267213685529618,398.447656518058,15.994869834383747,-0.4298708562163452,0.462320695204031,10.229538929575243,2.3774436048059315,0.5441601613406385,0.5623037553203843,5.111049071686951,2.1746930485094254,-0.4757929754558292,0.4256194023496672
166,2014-11-19 10:00:00,1416391200,0.952,273.0,-1.038589351885599,2.078530961564638,-0.4093658794388665,0.9057263712479181,2.3272438677541656,1.9267964459938007,0.6002323640343975,0.7072133166340462,-0.7408240667072992,2.5315808637309067,-0.030939705233266192,1.1448632835777597,4.447735731636927,1.0913278124312251,0.2658016598775304,0.8369483419632752,-397.7277174250961,15.794969761686549,0.4314621494823391,0.46117829697050206,17.629667520661872,12.622935015710404,0.24661629414756614,0.6489673833331622,-1.3090433328013136,13.925948477311486,-0.21426575484510582,1.1290375750029007,398.70191292784193,16.03576877980597,-0.4225217498248253,0.46350285105003025,10.206505566943987,2.38437395000054,0.5387123996023454,0.5639428937296898,5.125692070124289,2.1811632735902866,-0.47292712537745646,0.426885720524488
167,2014-11-19 11:00:00,1416394800,0.993,274.0,-1.027689284193638,2.082908516144516,-0.4046161408304192,0.9076339043556224,2.308412863653574,1.9309180940019623,0.5933206132403692,0.7087261304883123,-0.7359137526006833,2.5367977155612382,-0.028719101336295,1.1472225138128982,4.4470772595938435,1.0940871226904554,0.26529667221167036,0.8390644798643886,-397.97266490378934,15.833115367207581,0.4243102230921426,0.46229206455958416,17.651753598764735,12.650667477671979,0.24775177843047386,0.6503931581826873,-1.2797910531732146,13.953211936969492,-0.21189414454449154,1.1312479429666062,398.95061743719464,16.074799430222164,-0.41533311729108974,0.46463100511577266,10.185134620512114,2.3909803964732625,0.5336578261062166,0.5655054248675159,5.140183196344278,2.1873293038469033,-0.470090998924874,0.42809250329987325
168,2014-11-19 12:00:00,1416398400,1.035,274.0,-1.0170523756915772,2.0870938741827088,-0.39998107466252564,0.9094576872188096,2.2899682155641026,1.9348599419196326,0.5865506709474898,0.7101729503354834,-0.7313207980391013,2.5417850152428234,-0.026642017757401663,1.149477933093178,4.446454075601785,1.0967234327519781,0.26481874724453447,0.8410862878947156,-398.2124818448074,15.869586734891568,0.4173080970917695,0.4633569480946882,17.672759871171667,12.677198536392616,0.24883174799543997,0.6517571667697205,-1.2519609732672556,13.979276637387354,-0.2096378381980798,1.133361122273632,399.19401985708527,16.1121147952024,-0.4082977380011465,0.4657095800374873,10.165263731520955,2.3972899634156457,0.5289580403873478,0.566997739208422,5.154523915154655,2.1932166329116907,-0.467284309413671,0.4292447401544988
